Mean Score: 94.88, Standard Deviation: 28.650752171627193, Minimum: 35, Maximum: 179, Games: 100
Mean Score: 96.43, Standard Deviation: 27.753650210377735, Minimum: 45, Maximum: 184, Games: 100
Mean Score: 90.86, Standard Deviation: 29.505938385348802, Minimum: 38, Maximum: 172, Games: 100
Mean Score: 84.26, Standard Deviation: 25.712495017014586, Minimum: 41, Maximum: 172, Games: 100
Mean Score: 92.66, Standard Deviation: 27.539143051300638, Minimum: 43, Maximum: 199, Games: 100
Mean Score: 85.93, Standard Deviation: 30.76922325961447, Minimum: 28, Maximum: 189, Games: 100
Mean Score: 91.93, Standard Deviation: 33.43149862031314, Minimum: 10, Maximum: 202, Games: 100
Mean Score: 90.95, Standard Deviation: 29.251111090008184, Minimum: 18, Maximum: 194, Games: 100
Mean Score: 92.03, Standard Deviation: 31.859207460324555, Minimum: 36, Maximum: 204, Games: 100
Mean Score: 98.44, Standard Deviation: 32.822346046557975, Minimum: 34, Maximum: 202, Games: 100
Mean Score: 93.3, Standard Deviation: 27.986603938313053, Minimum: 42, Maximum: 170, Games: 100
Mean Score: 90.62, Standard Deviation: 31.1213045999039, Minimum: 22, Maximum: 177, Games: 100
Mean Score: 80.28, Standard Deviation: 26.531520876120155, Minimum: 27, Maximum: 166, Games: 100
Mean Score: 87.58, Standard Deviation: 27.564535185633, Minimum: 35, Maximum: 171, Games: 100
Mean Score: 95.77, Standard Deviation: 30.72258289922903, Minimum: 38, Maximum: 182, Games: 100
Mean Score: 84.36, Standard Deviation: 27.30952947232889, Minimum: 18, Maximum: 154, Games: 100
Mean Score: 93.4, Standard Deviation: 31.020638291305353, Minimum: 34, Maximum: 188, Games: 100
Mean Score: 92.34, Standard Deviation: 28.622445737567567, Minimum: 37, Maximum: 186, Games: 100
Mean Score: 97.73, Standard Deviation: 33.983777011980294, Minimum: 38, Maximum: 235, Games: 100
Mean Score: 93.35, Standard Deviation: 33.07971432766613, Minimum: 31, Maximum: 203, Games: 100
Mean Score: 97.17, Standard Deviation: 30.897266869417432, Minimum: 32, Maximum: 192, Games: 100
Mean Score: 93.51, Standard Deviation: 33.51372703833459, Minimum: 32, Maximum: 191, Games: 100
Mean Score: 107.3, Standard Deviation: 37.67240369288904, Minimum: 48, Maximum: 149, Games: 10
Mean Score: 99.9, Standard Deviation: 32.55902332687514, Minimum: 48, Maximum: 159, Games: 10
Mean Score: 111.8, Standard Deviation: 33.465803441722414, Minimum: 43, Maximum: 154, Games: 10
Mean Score: 98.5, Standard Deviation: 43.098143811537874, Minimum: 35, Maximum: 169, Games: 10
Mean Score: 96.2, Standard Deviation: 20.138520303140446, Minimum: 66, Maximum: 133, Games: 10
Mean Score: 89.6, Standard Deviation: 17.861690849412884, Minimum: 59, Maximum: 132, Games: 10
Mean Score: 92.2, Standard Deviation: 24.436857408431223, Minimum: 49, Maximum: 129, Games: 10
Mean Score: 91.5, Standard Deviation: 31.645694809878957, Minimum: 55, Maximum: 174, Games: 10
Mean Score: 104.3, Standard Deviation: 28.705574371539754, Minimum: 43, Maximum: 146, Games: 10
Mean Score: 93.5, Standard Deviation: 18.82153022471871, Minimum: 56, Maximum: 123, Games: 10
Mean Score: 115.7, Standard Deviation: 27.620463428407565, Minimum: 71, Maximum: 197, Games: 100
Mean Score: 113.55, Standard Deviation: 27.29885528735591, Minimum: 63, Maximum: 199, Games: 100
Mean Score: 119.58, Standard Deviation: 30.54674450739392, Minimum: 68, Maximum: 199, Games: 100
Mean Score: 117.99, Standard Deviation: 28.4778844017599, Minimum: 65, Maximum: 212, Games: 100
Mean Score: 116.42, Standard Deviation: 26.026594091428876, Minimum: 77, Maximum: 209, Games: 100
Mean Score: 114.24, Standard Deviation: 27.604028691479073, Minimum: 53, Maximum: 194, Games: 100
Mean Score: 109.09, Standard Deviation: 25.04799193548257, Minimum: 53, Maximum: 209, Games: 100
Mean Score: 114.98, Standard Deviation: 31.627197156877493, Minimum: 70, Maximum: 249, Games: 100
Mean Score: 112.5, Standard Deviation: 27.769227572980853, Minimum: 50, Maximum: 210, Games: 100
